node_id	raw_name	pretty_name	is_phenotype
1	ENSG00000198743.6_PCGBA23	ENSG00000198743.6_PCGBA23	0
2	ENSG00000134294.13_PCGBA23	ENSG00000134294.13_PCGBA23	0
3	ENSG00000163605.14_PCGBA23	ENSG00000163605.14_PCGBA23	0
4	ENSG00000243927.5_PCGBA23	ENSG00000243927.5_PCGBA23	0
5	ENSG00000168283.13_PCGBA23	ENSG00000168283.13_PCGBA23	0
6	ENSG00000158169.12_PCGBA23	ENSG00000158169.12_PCGBA23	0
7	ENSG00000112406.4_PCGBA23	ENSG00000112406.4_PCGBA23	0
8	ENSG00000168566.12_PCGBA23	ENSG00000168566.12_PCGBA23	0
9	ENSG00000095787.21_PCGBA23	ENSG00000095787.21_PCGBA23	0
10	ENSG00000143157.11_PCGBA23	ENSG00000143157.11_PCGBA23	0
11	ENSG00000134294.13_AC	ENSG00000134294.13_AC	0
12	ENSG00000172922.8_AC	ENSG00000172922.8_AC	0
13	ENSG00000170836.11_PCGBA23	ENSG00000170836.11_PCGBA23	0
14	ENSG00000095787.21_AC	ENSG00000095787.21_AC	0
15	ENSG00000177311.11_PCGBA23	ENSG00000177311.11_PCGBA23	0
16	ENSG00000198743.6_MFBA9BA46	ENSG00000198743.6_MFBA9BA46	0
17	ENSG00000172922.8_PCGBA23	ENSG00000172922.8_PCGBA23	0
18	ENSG00000163320.10_PCGBA23	ENSG00000163320.10_PCGBA23	0
19	ENSG00000158169.12_MFBA9BA46	ENSG00000158169.12_MFBA9BA46	0
20	ENSG00000243927.5_MFBA9BA46	ENSG00000243927.5_MFBA9BA46	0
21	ENSG00000198743.6_AC	ENSG00000198743.6_AC	0
22	ENSG00000168566.12_AC	ENSG00000168566.12_AC	0
23	ENSG00000177311.11_AC	ENSG00000177311.11_AC	0
24	ENSG00000134294.13_MFBA9BA46	ENSG00000134294.13_MFBA9BA46	0
25	ENSG00000204209.11_PCGBA23	ENSG00000204209.11_PCGBA23	0
