node_id	raw_name	pretty_name	is_phenotype
1	ENSG00000213719.8_MFBA9BA46	ENSG00000213719.8_MFBA9BA46	0
2	ENSG00000123374.10_MFBA9BA46	ENSG00000123374.10_MFBA9BA46	0
3	ENSG00000261371.5_MFBA9BA46	ENSG00000261371.5_MFBA9BA46	0
4	ENSG00000177464.4_MFBA9BA46	ENSG00000177464.4_MFBA9BA46	0
5	ENSG00000158710.14_MFBA9BA46	ENSG00000158710.14_MFBA9BA46	0
6	ENSG00000146112.11_AC	ENSG00000146112.11_AC	0
7	ENSG00000077150.18_AC	ENSG00000077150.18_AC	0
8	ENSG00000196843.15_AC	ENSG00000196843.15_AC	0
9	ENSG00000161638.10_AC	ENSG00000161638.10_AC	0
10	ENSG00000139083.10_AC	ENSG00000139083.10_AC	0
11	ENSG00000198743.6_PCGBA23	ENSG00000198743.6_PCGBA23	0
12	ENSG00000134294.13_PCGBA23	ENSG00000134294.13_PCGBA23	0
13	ENSG00000163605.14_PCGBA23	ENSG00000163605.14_PCGBA23	0
14	ENSG00000243927.5_PCGBA23	ENSG00000243927.5_PCGBA23	0
15	ENSG00000168283.13_PCGBA23	ENSG00000168283.13_PCGBA23	0
16	ENSG00000198830.10_AC	ENSG00000198830.10_AC	0
17	ENSG00000125520.13_AC	ENSG00000125520.13_AC	0
18	ENSG00000198830.10_MFBA9BA46	ENSG00000198830.10_MFBA9BA46	0
19	ENSG00000125534.9_AC	ENSG00000125534.9_AC	0
20	ENSG00000198830.10_PCGBA23	ENSG00000198830.10_PCGBA23	0
21	ENSG00000186111.9_PCGBA23	ENSG00000186111.9_PCGBA23	0
22	ENSG00000270885.1_PCGBA23	ENSG00000270885.1_PCGBA23	0
23	ENSG00000130758.7_PCGBA23	ENSG00000130758.7_PCGBA23	0
24	ENSG00000105642.15_PCGBA23	ENSG00000105642.15_PCGBA23	0
25	ENSG00000186111.9_MFBA9BA46	ENSG00000186111.9_MFBA9BA46	0
26	ENSG00000159658.10_PCGBA23	ENSG00000159658.10_PCGBA23	0
27	ENSG00000055070.16_PCGBA23	ENSG00000055070.16_PCGBA23	0
28	ENSG00000112531.16_PCGBA23	ENSG00000112531.16_PCGBA23	0
29	ENSG00000180370.10_PCGBA23	ENSG00000180370.10_PCGBA23	0
30	ENSG00000137076.20_PCGBA23	ENSG00000137076.20_PCGBA23	0
31	ENSG00000146267.11_AC	ENSG00000146267.11_AC	0
32	ENSG00000107758.15_AC	ENSG00000107758.15_AC	0
33	ENSG00000164885.12_AC	ENSG00000164885.12_AC	0
34	ENSG00000101152.10_AC	ENSG00000101152.10_AC	0
35	ENSG00000175182.14_AC	ENSG00000175182.14_AC	0
36	ENSG00000106689.10_AC	ENSG00000106689.10_AC	0
37	ENSG00000149212.11_MFBA9BA46	ENSG00000149212.11_MFBA9BA46	0
38	ENSG00000135974.9_AC	ENSG00000135974.9_AC	0
39	ENSG00000126062.3_AC	ENSG00000126062.3_AC	0
40	ENSG00000168118.11_AC	ENSG00000168118.11_AC	0
41	PHENO_sqrt_parksc_demog_slope	PHENO_sqrt_parksc_demog_slope	1
